,Unnamed: 0,31 Dec,31 Dec.1,31 Dec.2,31 Dec.3
0,SEK m,2020,2019,2020,2019
1,Exposures to central governments or central banks,0,0,0,0
2,Exposures to regional governments or local authorities,0,0,0,0
3,Exposures to institutions,670,752,411,363
4,"of which, counterparty credit risk",72,60,72,60
5,Exposures to corporates,462,319,"12,594","14,565"
6,Retail exposures,27,38,23,33
7,Exposures secured by mortgages on immovable property,352,368,83,101
8,Exposures in default,"25,012","28,746","9,258","10,043"
9,Exposures in the form of covered bonds,408,277,408,277
10,Equity exposures,–,–,816,807
11,Other items,470,382,164,84
12,Credit risk (standardised approach),"27,401","30,882","23,757","26,273"
13,Securitisation positions in the banking book (external ratings-based approach),"1,954","2,984","1,954","2,984"
14,Market risk (foreign exchange risk – standardised approach),0,78,0,78
15,Operational risk (standardised approach),"4,208","3,935","2,213","1,916"
16,Credit valuation adjustment (standardised approach),62,48,62,48
17,Total risk-weighted exposure amount,"33,625","37,927","27,986","31,299"
